raw_country,raw_institute,raw_source,stand_institute,country,flemish,group,qh
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,africamuseum,2-mailinglist_lifewatch.be_users_2023-11-07,RMCA Royal Museum for Central Africa,Belgium,o,Museum,Science
be,africamuseum,2-mailinglist_lifewatch.be_users_2023-11-07,RMCA Royal Museum for Central Africa,Belgium,o,Museum,Science
be,africamuseum,2-mailinglist_lifewatch.be_users_2023-11-07,RMCA Royal Museum for Central Africa,Belgium,o,Museum,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,ulgac,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,uclouvain,2-mailinglist_lifewatch.be_users_2023-11-07,Catholique University of Louvain,Belgium,x,University,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
nl,deltares,2-mailinglist_lifewatch.be_users_2023-11-07,Deltares,Netherlands,,Company,Industry
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,justfgov,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,uliege,2-mailinglist_lifewatch.be_users_2023-11-07,University of Liège,Belgium,o,University,Science
be,ardenne-et-gaume,2-mailinglist_lifewatch.be_users_2023-11-07,Ardenne & Gaume,Belgium,o,Other,Civil society
be,uhasselt,2-mailinglist_lifewatch.be_users_2023-11-07,Hasselt University,Belgium,x,University,Science
be,itg,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,INBO Research Institute for Nature and Forest,Belgium,x,Research institute,Science
be,UGent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,UGent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,Ghent University,Belgium,x,University,Science
be,biodiversity,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,biodiversity,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,biodiversity,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,uliege,2-mailinglist_lifewatch.be_users_2023-11-07,University of Liège,Belgium,o,University,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,Royal Belgian Institute of Natural Sciences (RBINS),Belgium,o,Research institute,Science
be,uhasselt,2-mailinglist_lifewatch.be_users_2023-11-07,Hasselt University,Belgium,x,University,Science
be,ilvovlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",Belgium,x,Research institute,Science
se,slu,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,plantentuinmeise,2-mailinglist_lifewatch.be_users_2023-11-07,Plantentuin Meise,Belgium,x,Museum,Science
be,belspo,2-mailinglist_lifewatch.be_users_2023-11-07,Federal government - Belgian Science Policy (BELSPO),Belgium,o,Governmental body,Policy
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,uantwerpen,2-mailinglist_lifewatch.be_users_2023-11-07,University of Antwerp,Belgium,x,University,Science
be,oost-vlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,Province of East-Flanders,Belgium,x,Other public authorities,Policy
be,uclouvain,2-mailinglist_lifewatch.be_users_2023-11-07,Catholique University of Louvain,Belgium,x,University,Science
be,vito,2-mailinglist_lifewatch.be_users_2023-11-07,VITO Vlaamse Instelling voor Technologisch Onderzoek,Belgium,x,Research institute,Science
org,unesco,2-mailinglist_lifewatch.be_users_2023-11-07,UNESCO,,,,
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
org,cetaf,2-mailinglist_lifewatch.be_users_2023-11-07,CETAF (Consortium of European Taxonomic Facilities),Europe,,Research network,Science
be,ewivlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,"Flemish Government - Department of Economy, Science and Innovation (EWI)",Belgium,x,Governmental body,Policy
org,unesco,2-mailinglist_lifewatch.be_users_2023-11-07,UNESCO,,,,
be,ulbac,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
uk,sheffieldac,2-mailinglist_lifewatch.be_users_2023-11-07,NA,,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,Flanders Marine Institute (VLIZ),,,,
com,Lotek,2-mailinglist_lifewatch.be_users_2023-11-07,Lotek,Global,,Company,Industry
